"","Sector","Company","sentiment_bins","mean_sentiments"
"571","Financial","Willis Group","Moderate_sell",0.4553
"572","Financial","Digital Realty","Moderate_sell",0.3773
"573","Consumer Goods","Henkel AG","Hold",0.5
"574","Healthcare","Alexion Pharmaceuticals","Moderate_buy",0.6803875
"575","Healthcare","Lonza Group",NA,NA
"576","Services","Royal Caribbean","Hold",0.4918625
"577","Technology","Spotify Technology SA","Hold",0.5508875
"578","Financial","Mitsubishi Estate",NA,NA
"579","Financial","Longfor Group Holdings",NA,NA
"580","Materials","MPLX",NA,NA
"581","Utilities","Naturgy Energy Group SA",NA,NA
"582","Services","Centene","Moderate_sell",0.3526125
"583","Healthcare","Agilent","Hold",0.477125
"584","Financial","Realty Income","Strong_sell",0.281325
"585","Financial","CK Asset Holdings",NA,NA
"586","Financial","Societe Generale",NA,NA
"587","Industrial Goods","Assa Abloy","Hold",0.5
"588","Financial","Henderson Land Development Co",NA,NA
"589","Utilities","Edison International","Moderate_sell",0.311
"590","Consumer Goods","Kyocera",NA,NA
"591","Technology","Rogers Communication","Moderate_sell",0.4153
"592","Utilities","PPL","Moderate_buy",0.618625
"593","Materials","Surgutneftegas OAO",NA,NA
"594","Financial","Mitsui Fudosan",NA,NA
"595","Services","Nissan Motor Co",NA,NA
"596","Financial","FirstRand",NA,NA
"597","Services","Haidilao International Holding",NA,NA
"598","Utilities","TATNEFT PJSC",NA,NA
"599","Technology","Sprint","Moderate_sell",0.395
"600","Consumer Goods","Fortive","Moderate_sell",0.44295
"601","Industrial Goods","Volvo AB","Moderate_sell",0.4375
"602","Utilities","Equatorial Energia SA",NA,NA
"603","Financial","Synchrony Financial","Hold",0.4844375
"604","Financial","Verisk Analytics","Moderate_sell",0.43515
"605","Consumer Goods","Nissan","Moderate_sell",0.355375
"606","Financial","Mitsui Fudosan Co",NA,NA
"607","Utilities","DTE Energy","Moderate_sell",0.411775
"608","Technology","Twitter","Moderate_buy",0.6132125
"609","Consumer Goods","Stanley Black & Decker",NA,NA
"610","Consumer Goods","Aptiv","Moderate_sell",0.3877
"611","Consumer Goods","Archer Daniels Midland","Hold",0.465175
"612","Materials","Waste Connections","Moderate_sell",0.3241
